GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),3.76426,AUTO
Start Frequency,1800000
Stop Frequency,3100000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
1800000,-105.878868103027
1802826.08695652,-104.810371398926
1805652.17391304,-105.49878692627
1808478.26086957,-105.562469482422
1811304.34782609,-105.165153503418
1814130.43478261,-106.053825378418
1816956.52173913,-105.648399353027
1819782.60869565,-105.39478302002
1822608.69565217,-105.930183410645
1825434.7826087,-105.712753295898
1828260.86956522,-105.936431884766
1831086.95652174,-105.136566162109
1833913.04347826,-105.208404541016
1836739.13043478,-106.120468139648
1839565.2173913,-106.408843994141
1842391.30434783,-106.194763183594
1845217.39130435,-106.178466796875
1848043.47826087,-104.694404602051
1850869.56521739,-104.736869812012
1853695.65217391,-105.748870849609
1856521.73913043,-106.053382873535
1859347.82608696,-106.105339050293
1862173.91304348,-105.818069458008
1865000,-105.388153076172
1867826.08695652,-105.163734436035
1870652.17391304,-105.006088256836
1873478.26086957,-106.039070129395
1876304.34782609,-104.727005004883
1879130.43478261,-104.618865966797
1881956.52173913,-105.440200805664
1884782.60869565,-105.898765563965
1887608.69565217,-105.869247436523
1890434.7826087,-105.306602478027
1893260.86956522,-104.165313720703
1896086.95652174,-105.201469421387
1898913.04347826,-104.83903503418
1901739.13043478,-105.104354858398
1904565.2173913,-106.23314666748
1907391.30434783,-106.032554626465
1910217.39130435,-104.962524414063
1913043.47826087,-105.880378723145
1915869.56521739,-106.393905639648
1918695.65217391,-104.916145324707
1921521.73913043,-105.436126708984
1924347.82608696,-104.292961120605
1927173.91304348,-104.46215057373
1930000,-105.81893157959
1932826.08695652,-105.34041595459
1935652.17391304,-106.207649230957
1938478.26086957,-105.641540527344
1941304.34782609,-104.91584777832
1944130.43478261,-106.155418395996
1946956.52173913,-105.212837219238
1949782.60869565,-105.95125579834
1952608.69565217,-104.610939025879
1955434.7826087,-105.640068054199
1958260.86956522,-105.134727478027
1961086.95652174,-105.63826751709
1963913.04347826,-104.815437316895
1966739.13043478,-105.536460876465
1969565.2173913,-105.043701171875
1972391.30434783,-104.240646362305
1975217.39130435,-105.795227050781
1978043.47826087,-105.867706298828
1980869.56521739,-106.159553527832
1983695.65217391,-105.606094360352
1986521.73913043,-105.399536132813
1989347.82608696,-104.653617858887
1992173.91304348,-105.32266998291
1995000,-104.503303527832
1997826.08695652,-105.654678344727
2000652.17391304,-104.981895446777
2003478.26086957,-105.041007995605
2006304.34782609,-105.933967590332
2009130.43478261,-105.782943725586
2011956.52173913,-105.383110046387
2014782.60869565,-105.123382568359
2017608.69565217,-104.483871459961
2020434.7826087,-105.151191711426
2023260.86956522,-106.30061340332
2026086.95652174,-106.369667053223
2028913.04347826,-105.42960357666
2031739.13043478,-103.039772033691
2034565.2173913,-104.860954284668
2037391.30434783,-104.307945251465
2040217.39130435,-105.578773498535
2043043.47826087,-104.76342010498
2045869.56521739,-104.931297302246
2048695.65217391,-105.424354553223
2051521.73913043,-104.503517150879
2054347.82608696,-105.364692687988
2057173.91304348,-103.755615234375
2060000,-104.426071166992
2062826.08695652,-105.989135742188
2065652.17391304,-105.098289489746
2068478.26086957,-105.05785369873
2071304.34782609,-105.068687438965
2074130.43478261,-105.52010345459
2076956.52173913,-105.016334533691
2079782.60869565,-104.014785766602
2082608.69565217,-103.612724304199
2085434.7826087,-103.888191223145
2088260.86956522,-104.822715759277
2091086.95652174,-104.090888977051
2093913.04347826,-104.759452819824
2096739.13043478,-105.208686828613
2099565.2173913,-104.258865356445
2102391.30434783,-104.788505554199
2105217.39130435,-104.768112182617
2108043.47826087,-103.850341796875
2110869.56521739,-104.75804901123
2113695.65217391,-105.884368896484
2116521.73913043,-103.469528198242
2119347.82608696,-105.394996643066
2122173.91304348,-104.780632019043
2125000,-104.950866699219
2127826.08695652,-105.703498840332
2130652.17391304,-104.775802612305
2133478.26086957,-103.651443481445
2136304.34782609,-104.45922088623
2139130.43478261,-105.733711242676
2141956.52173913,-104.941520690918
2144782.60869565,-103.765830993652
2147608.69565217,-105.271553039551
2150434.7826087,-105.440284729004
2153260.86956522,-103.731742858887
2156086.95652174,-105.283073425293
2158913.04347826,-103.899108886719
2161739.13043478,-104.645729064941
2164565.2173913,-103.864059448242
2167391.30434783,-104.304046630859
2170217.39130435,-103.380577087402
2173043.47826087,-104.628356933594
2175869.56521739,-104.292869567871
2178695.65217391,-104.612907409668
2181521.73913043,-104.61279296875
2184347.82608696,-105.176315307617
2187173.91304348,-104.215026855469
2190000,-104.000473022461
2192826.08695652,-104.064002990723
2195652.17391304,-103.743110656738
2198478.26086957,-103.958404541016
2201304.34782609,-104.981971740723
2204130.43478261,-105.901786804199
2206956.52173913,-104.135360717773
2209782.60869565,-105.07999420166
2212608.69565217,-102.793960571289
2215434.7826087,-103.354751586914
2218260.86956522,-104.488159179688
2221086.95652174,-104.178977966309
2223913.04347826,-105.100509643555
2226739.13043478,-104.426300048828
2229565.2173913,-104.982872009277
2232391.30434783,-103.342300415039
2235217.39130435,-105.104064941406
2238043.47826087,-104.463348388672
2240869.56521739,-104.120361328125
2243695.65217391,-104.486885070801
2246521.73913043,-104.294479370117
2249347.82608696,-104.475875854492
2252173.91304348,-104.15406036377
2255000,-103.305038452148
2257826.08695652,-104.861885070801
2260652.17391304,-104.69270324707
2263478.26086957,-102.031646728516
2266304.34782609,-103.247970581055
2269130.43478261,-104.392601013184
2271956.52173913,-103.974670410156
2274782.60869565,-103.06209564209
2277608.69565217,-103.56714630127
2280434.7826087,-104.441589355469
2283260.86956522,-103.264556884766
2286086.95652174,-104.199851989746
2288913.04347826,-102.689308166504
2291739.13043478,-103.149971008301
2294565.2173913,-99.9355545043945
2297391.30434783,-104.175361633301
2300217.39130435,-103.517127990723
2303043.47826087,-103.912292480469
2305869.56521739,-101.597732543945
2308695.65217391,-102.417808532715
2311521.73913043,-100.170440673828
2314347.82608696,-102.750213623047
2317173.91304348,-103.123901367188
2320000,-102.487144470215
2322826.08695652,-101.436882019043
2325652.17391304,-100.059982299805
2328478.26086957,-99.1860885620117
2331304.34782609,-101.025337219238
