GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),3.76426,AUTO
Start Frequency,1800000
Stop Frequency,3100000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
1800000,-104.563781738281
1802826.08695652,-104.391510009766
1805652.17391304,-105.275604248047
1808478.26086957,-105.345581054688
1811304.34782609,-104.584526062012
1814130.43478261,-105.264694213867
1816956.52173913,-105.433731079102
1819782.60869565,-106.084938049316
1822608.69565217,-105.640937805176
1825434.7826087,-105.56005859375
1828260.86956522,-104.364097595215
1831086.95652174,-104.885200500488
1833913.04347826,-106.29434967041
1836739.13043478,-104.24787902832
1839565.2173913,-106.268112182617
1842391.30434783,-105.603858947754
1845217.39130435,-106.058052062988
1848043.47826087,-104.961517333984
1850869.56521739,-104.580825805664
1853695.65217391,-106.541961669922
1856521.73913043,-104.053482055664
1859347.82608696,-103.980941772461
1862173.91304348,-104.872634887695
1865000,-106.891639709473
1867826.08695652,-105.650543212891
1870652.17391304,-104.820678710938
1873478.26086957,-105.046829223633
1876304.34782609,-105.235900878906
1879130.43478261,-105.634895324707
1881956.52173913,-104.422668457031
1884782.60869565,-103.911865234375
1887608.69565217,-106.00959777832
1890434.7826087,-105.31275177002
1893260.86956522,-104.642448425293
1896086.95652174,-105.333999633789
1898913.04347826,-104.676460266113
1901739.13043478,-105.330406188965
1904565.2173913,-104.948554992676
1907391.30434783,-105.469413757324
1910217.39130435,-105.608085632324
1913043.47826087,-105.828674316406
1915869.56521739,-106.859840393066
1918695.65217391,-105.318397521973
1921521.73913043,-105.676742553711
1924347.82608696,-104.979400634766
1927173.91304348,-105.071159362793
1930000,-106.113464355469
1932826.08695652,-105.376029968262
1935652.17391304,-106.033714294434
1938478.26086957,-104.853233337402
1941304.34782609,-104.925521850586
1944130.43478261,-105.488861083984
1946956.52173913,-104.338119506836
1949782.60869565,-106.258567810059
1952608.69565217,-106.045776367188
1955434.7826087,-104.907203674316
1958260.86956522,-106.336181640625
1961086.95652174,-105.322975158691
1963913.04347826,-105.607582092285
1966739.13043478,-104.868499755859
1969565.2173913,-105.509666442871
1972391.30434783,-106.909729003906
1975217.39130435,-104.902328491211
1978043.47826087,-105.394577026367
1980869.56521739,-105.747077941895
1983695.65217391,-105.022064208984
1986521.73913043,-106.126091003418
1989347.82608696,-104.639068603516
1992173.91304348,-105.747703552246
1995000,-105.008247375488
1997826.08695652,-104.977310180664
2000652.17391304,-106.339637756348
2003478.26086957,-106.255096435547
2006304.34782609,-105.123390197754
2009130.43478261,-104.764099121094
2011956.52173913,-105.11629486084
2014782.60869565,-104.562019348145
2017608.69565217,-105.537689208984
2020434.7826087,-105.421485900879
2023260.86956522,-104.684127807617
2026086.95652174,-104.80200958252
2028913.04347826,-104.986190795898
2031739.13043478,-104.645233154297
2034565.2173913,-105.308174133301
2037391.30434783,-105.128089904785
2040217.39130435,-103.154518127441
2043043.47826087,-105.379180908203
2045869.56521739,-105.581237792969
2048695.65217391,-105.035583496094
2051521.73913043,-105.409736633301
2054347.82608696,-104.806427001953
2057173.91304348,-103.505928039551
2060000,-104.052558898926
2062826.08695652,-105.816047668457
2065652.17391304,-105.79923248291
2068478.26086957,-104.854438781738
2071304.34782609,-105.429359436035
2074130.43478261,-104.706993103027
2076956.52173913,-105.327003479004
2079782.60869565,-104.736839294434
2082608.69565217,-105.09725189209
2085434.7826087,-105.778388977051
2088260.86956522,-104.825218200684
2091086.95652174,-104.272285461426
2093913.04347826,-104.914070129395
2096739.13043478,-104.361488342285
2099565.2173913,-106.689384460449
2102391.30434783,-105.215995788574
2105217.39130435,-105.396110534668
2108043.47826087,-105.856925964355
2110869.56521739,-105.076698303223
2113695.65217391,-103.92017364502
2116521.73913043,-104.44409942627
2119347.82608696,-105.45645904541
2122173.91304348,-105.442436218262
2125000,-105.699447631836
2127826.08695652,-105.073333740234
2130652.17391304,-104.442642211914
2133478.26086957,-105.07349395752
2136304.34782609,-105.796936035156
2139130.43478261,-104.103858947754
2141956.52173913,-105.144302368164
2144782.60869565,-104.987396240234
2147608.69565217,-104.518516540527
2150434.7826087,-105.215232849121
2153260.86956522,-105.19652557373
2156086.95652174,-104.702163696289
2158913.04347826,-104.881195068359
2161739.13043478,-105.283401489258
2164565.2173913,-105.264808654785
2167391.30434783,-104.750114440918
2170217.39130435,-104.858367919922
2173043.47826087,-105.271827697754
2175869.56521739,-105.43253326416
2178695.65217391,-105.548683166504
2181521.73913043,-103.845527648926
2184347.82608696,-104.774917602539
2187173.91304348,-105.324005126953
2190000,-104.762451171875
2192826.08695652,-105.454055786133
2195652.17391304,-105.349769592285
2198478.26086957,-105.148323059082
2201304.34782609,-104.207443237305
2204130.43478261,-105.841827392578
2206956.52173913,-104.776145935059
2209782.60869565,-106.197875976563
2212608.69565217,-102.398155212402
2215434.7826087,-104.168800354004
2218260.86956522,-104.54167175293
2221086.95652174,-104.272010803223
2223913.04347826,-104.785446166992
2226739.13043478,-104.629173278809
2229565.2173913,-104.739158630371
2232391.30434783,-103.605735778809
2235217.39130435,-103.916763305664
2238043.47826087,-105.714263916016
2240869.56521739,-104.68270111084
2243695.65217391,-103.054466247559
2246521.73913043,-103.863784790039
2249347.82608696,-104.958633422852
2252173.91304348,-103.714599609375
2255000,-101.478576660156
2257826.08695652,-104.84814453125
2260652.17391304,-103.94066619873
2263478.26086957,-100.87353515625
2266304.34782609,-103.919540405273
2269130.43478261,-104.172676086426
2271956.52173913,-104.075103759766
2274782.60869565,-103.509826660156
2277608.69565217,-103.675201416016
2280434.7826087,-104.018180847168
2283260.86956522,-104.1796875
2286086.95652174,-102.80736541748
2288913.04347826,-102.382926940918
2291739.13043478,-103.220985412598
2294565.2173913,-101.705825805664
2297391.30434783,-102.578742980957
2300217.39130435,-103.376129150391
2303043.47826087,-103.326240539551
2305869.56521739,-102.386169433594
2308695.65217391,-101.82576751709
2311521.73913043,-100.356498718262
2314347.82608696,-102.499931335449
2317173.91304348,-102.630363464355
2320000,-102.75651550293
2322826.08695652,-100.985885620117
2325652.17391304,-100.855018615723
2328478.26086957,-99.5107345581055
2331304.34782609,-99.76123046875
2334130.43478261,-98.814094543457
