GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),3.76426,AUTO
Start Frequency,1800000
Stop Frequency,3100000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
1800000,-104.042518615723
1802826.08695652,-105.445816040039
1805652.17391304,-105.336547851563
1808478.26086957,-105.98055267334
1811304.34782609,-104.824241638184
1814130.43478261,-105.108428955078
1816956.52173913,-105.330764770508
1819782.60869565,-105.718475341797
1822608.69565217,-105.264533996582
1825434.7826087,-106.259399414063
1828260.86956522,-105.941307067871
1831086.95652174,-104.946754455566
1833913.04347826,-106.799758911133
1836739.13043478,-105.655418395996
1839565.2173913,-105.609901428223
1842391.30434783,-106.220420837402
1845217.39130435,-105.122344970703
1848043.47826087,-105.095817565918
1850869.56521739,-105.804565429688
1853695.65217391,-106.127029418945
1856521.73913043,-105.071189880371
1859347.82608696,-107.047752380371
1862173.91304348,-105.215881347656
1865000,-106.417274475098
1867826.08695652,-105.668754577637
1870652.17391304,-105.566368103027
1873478.26086957,-105.283386230469
1876304.34782609,-105.769706726074
1879130.43478261,-105.546798706055
1881956.52173913,-103.915084838867
1884782.60869565,-105.255928039551
1887608.69565217,-103.840965270996
1890434.7826087,-105.811836242676
1893260.86956522,-105.424758911133
1896086.95652174,-105.396949768066
1898913.04347826,-105.79557800293
1901739.13043478,-105.7412109375
1904565.2173913,-105.978149414063
1907391.30434783,-104.377532958984
1910217.39130435,-105.326026916504
1913043.47826087,-105.574211120605
1915869.56521739,-104.671394348145
1918695.65217391,-104.917251586914
1921521.73913043,-105.544616699219
1924347.82608696,-104.370307922363
1927173.91304348,-105.103759765625
1930000,-104.508522033691
1932826.08695652,-105.653015136719
1935652.17391304,-104.637886047363
1938478.26086957,-105.768928527832
1941304.34782609,-105.112922668457
1944130.43478261,-105.394683837891
1946956.52173913,-105.533729553223
1949782.60869565,-105.530540466309
1952608.69565217,-106.175796508789
1955434.7826087,-105.524597167969
1958260.86956522,-104.796569824219
1961086.95652174,-104.425117492676
1963913.04347826,-105.510139465332
1966739.13043478,-104.983520507813
1969565.2173913,-106.326843261719
1972391.30434783,-105.747825622559
1975217.39130435,-105.329429626465
1978043.47826087,-105.889106750488
1980869.56521739,-104.488563537598
1983695.65217391,-104.743148803711
1986521.73913043,-105.253044128418
1989347.82608696,-104.397598266602
1992173.91304348,-105.272064208984
1995000,-106.488777160645
1997826.08695652,-106.119247436523
2000652.17391304,-105.116851806641
2003478.26086957,-104.532096862793
2006304.34782609,-105.469573974609
2009130.43478261,-106.124359130859
2011956.52173913,-105.149780273438
2014782.60869565,-105.743751525879
2017608.69565217,-105.606918334961
2020434.7826087,-104.433876037598
2023260.86956522,-103.628784179688
2026086.95652174,-106.474060058594
2028913.04347826,-106.106132507324
2031739.13043478,-104.985084533691
2034565.2173913,-105.611892700195
2037391.30434783,-105.294570922852
2040217.39130435,-105.058868408203
2043043.47826087,-105.394477844238
2045869.56521739,-106.336235046387
2048695.65217391,-105.191917419434
2051521.73913043,-106.362159729004
2054347.82608696,-105.750297546387
2057173.91304348,-104.554145812988
2060000,-105.193954467773
2062826.08695652,-105.077529907227
2065652.17391304,-105.512954711914
2068478.26086957,-105.692695617676
2071304.34782609,-105.600852966309
2074130.43478261,-105.341171264648
2076956.52173913,-104.192497253418
2079782.60869565,-105.112060546875
2082608.69565217,-104.989242553711
2085434.7826087,-103.809921264648
2088260.86956522,-104.746231079102
2091086.95652174,-104.729873657227
2093913.04347826,-104.192611694336
2096739.13043478,-103.634407043457
2099565.2173913,-103.348480224609
2102391.30434783,-105.923492431641
2105217.39130435,-105.50569152832
2108043.47826087,-106.201988220215
2110869.56521739,-104.984069824219
2113695.65217391,-104.448013305664
2116521.73913043,-104.412368774414
2119347.82608696,-104.440635681152
2122173.91304348,-104.218826293945
2125000,-104.739616394043
2127826.08695652,-105.214653015137
2130652.17391304,-104.949188232422
2133478.26086957,-104.48509979248
2136304.34782609,-104.238265991211
2139130.43478261,-105.218780517578
2141956.52173913,-106.017387390137
2144782.60869565,-105.097999572754
2147608.69565217,-103.923149108887
2150434.7826087,-104.139335632324
2153260.86956522,-104.833305358887
2156086.95652174,-106.169937133789
2158913.04347826,-103.597763061523
2161739.13043478,-103.909332275391
2164565.2173913,-104.549827575684
2167391.30434783,-104.197692871094
2170217.39130435,-105.611137390137
2173043.47826087,-103.421615600586
2175869.56521739,-105.847076416016
2178695.65217391,-105.610389709473
2181521.73913043,-106.055458068848
2184347.82608696,-103.878845214844
2187173.91304348,-104.760116577148
2190000,-105.391250610352
2192826.08695652,-104.44750213623
2195652.17391304,-104.527320861816
2198478.26086957,-105.030609130859
2201304.34782609,-105.210151672363
2204130.43478261,-103.400970458984
2206956.52173913,-105.992469787598
2209782.60869565,-105.678039550781
2212608.69565217,-104.313316345215
2215434.7826087,-104.244506835938
2218260.86956522,-103.882141113281
2221086.95652174,-104.266372680664
2223913.04347826,-104.459655761719
2226739.13043478,-104.673271179199
2229565.2173913,-105.167655944824
2232391.30434783,-104.856147766113
2235217.39130435,-104.22274017334
2238043.47826087,-103.940071105957
2240869.56521739,-104.786125183105
2243695.65217391,-105.946876525879
2246521.73913043,-105.433204650879
2249347.82608696,-104.330345153809
2252173.91304348,-105.755851745605
2255000,-104.595413208008
2257826.08695652,-105.226905822754
2260652.17391304,-105.228729248047
2263478.26086957,-104.405494689941
2266304.34782609,-104.216384887695
2269130.43478261,-104.504592895508
2271956.52173913,-103.865020751953
2274782.60869565,-105.000877380371
2277608.69565217,-103.937461853027
2280434.7826087,-103.883338928223
2283260.86956522,-105.320953369141
2286086.95652174,-104.561027526855
2288913.04347826,-104.321098327637
2291739.13043478,-103.921974182129
2294565.2173913,-104.297012329102
2297391.30434783,-105.489921569824
2300217.39130435,-104.834808349609
2303043.47826087,-104.71964263916
2305869.56521739,-104.503372192383
2308695.65217391,-103.599182128906
2311521.73913043,-104.632621765137
2314347.82608696,-105.33602142334
2317173.91304348,-104.509719848633
2320000,-101.827102661133
2322826.08695652,-104.159980773926
2325652.17391304,-103.843627929688
2328478.26086957,-103.504829406738
2331304.34782609,-105.046714782715
2334130.43478261,-104.067070007324
