GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),2.343784,AUTO
Start Frequency,2126200
Stop Frequency,2131200
Frequency Offset,0
Average Type,Log Pwr
RBW,10,MAN
VBW,1,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2126200,-107.395050048828
2126210.86956522,-112.193168640137
2126221.73913043,-108.103828430176
2126232.60869565,-107.970642089844
2126243.47826087,-108.775024414063
2126254.34782609,-108.176681518555
2126265.2173913,-105.269012451172
2126276.08695652,-104.678573608398
2126286.95652174,-106.63842010498
2126297.82608696,-110.387596130371
2126308.69565217,-109.626991271973
2126319.56521739,-106.084129333496
2126330.43478261,-105.896522521973
2126341.30434783,-107.084503173828
2126352.17391304,-110.056983947754
2126363.04347826,-107.368019104004
2126373.91304348,-103.985389709473
2126384.7826087,-103.540725708008
2126395.65217391,-107.342498779297
2126406.52173913,-107.036735534668
2126417.39130435,-110.749847412109
2126428.26086957,-109.786804199219
2126439.13043478,-110.220336914063
2126450,-106.275093078613
2126460.86956522,-106.242164611816
2126471.73913043,-109.927825927734
2126482.60869565,-109.306251525879
2126493.47826087,-104.199256896973
2126504.34782609,-104.747344970703
2126515.2173913,-114.143714904785
2126526.08695652,-111.894248962402
2126536.95652174,-106.761054992676
2126547.82608696,-107.670448303223
2126558.69565217,-112.765731811523
2126569.56521739,-110.079811096191
2126580.43478261,-109.783996582031
2126591.30434783,-107.88826751709
2126602.17391304,-105.863136291504
2126613.04347826,-109.85188293457
2126623.91304348,-111.398429870605
2126634.7826087,-112.175872802734
2126645.65217391,-112.068901062012
2126656.52173913,-111.711471557617
2126667.39130435,-110.886520385742
2126678.26086957,-111.335639953613
2126689.13043478,-111.018074035645
2126700,-107.55591583252
2126710.86956522,-107.504547119141
2126721.73913043,-111.900352478027
2126732.60869565,-110.112747192383
2126743.47826087,-107.472793579102
2126754.34782609,-110.156478881836
2126765.2173913,-104.491004943848
2126776.08695652,-105.04621887207
2126786.95652174,-106.589210510254
2126797.82608696,-106.970321655273
2126808.69565217,-109.371284484863
2126819.56521739,-109.114616394043
2126830.43478261,-110.405220031738
2126841.30434783,-112.164176940918
2126852.17391304,-109.797637939453
2126863.04347826,-107.284049987793
2126873.91304348,-105.14241027832
2126884.7826087,-107.104362487793
2126895.65217391,-106.891654968262
2126906.52173913,-113.321670532227
2126917.39130435,-113.280075073242
2126928.26086957,-107.22093963623
2126939.13043478,-105.990226745605
2126950,-106.938255310059
2126960.86956522,-108.896057128906
2126971.73913043,-106.937698364258
2126982.60869565,-108.829811096191
2126993.47826087,-107.052024841309
2127004.34782609,-104.854736328125
2127015.2173913,-107.208480834961
2127026.08695652,-105.978775024414
2127036.95652174,-108.357688903809
2127047.82608696,-106.373596191406
2127058.69565217,-105.012466430664
2127069.56521739,-108.199813842773
2127080.43478261,-110.196441650391
2127091.30434783,-112.286651611328
2127102.17391304,-111.380104064941
2127113.04347826,-112.155563354492
2127123.91304348,-110.483383178711
2127134.7826087,-109.653915405273
2127145.65217391,-109.971549987793
2127156.52173913,-108.51448059082
2127167.39130435,-103.531448364258
2127178.26086957,-101.727905273438
2127189.13043478,-102.964920043945
2127200,-106.808303833008
2127210.86956522,-106.387107849121
2127221.73913043,-107.249114990234
2127232.60869565,-108.976501464844
2127243.47826087,-104.456962585449
2127254.34782609,-105.043418884277
2127265.2173913,-108.035804748535
2127276.08695652,-106.222122192383
2127286.95652174,-104.947532653809
2127297.82608696,-105.12255859375
2127308.69565217,-104.641654968262
2127319.56521739,-109.513389587402
2127330.43478261,-110.232360839844
2127341.30434783,-109.601211547852
2127352.17391304,-108.184661865234
2127363.04347826,-108.390197753906
2127373.91304348,-109.763816833496
2127384.7826087,-106.085548400879
2127395.65217391,-103.4189453125
2127406.52173913,-105.062789916992
2127417.39130435,-105.355079650879
2127428.26086957,-105.859214782715
2127439.13043478,-105.716819763184
2127450,-104.992340087891
2127460.86956522,-105.132133483887
2127471.73913043,-104.937698364258
2127482.60869565,-105.000274658203
2127493.47826087,-106.816360473633
2127504.34782609,-107.190704345703
2127515.2173913,-108.506202697754
2127526.08695652,-108.184417724609
2127536.95652174,-103.118614196777
2127547.82608696,-104.187004089355
2127558.69565217,-110.796424865723
2127569.56521739,-108.981918334961
2127580.43478261,-110.54638671875
2127591.30434783,-104.352104187012
2127602.17391304,-105.181503295898
2127613.04347826,-109.848587036133
2127623.91304348,-109.841812133789
2127634.7826087,-104.547149658203
2127645.65217391,-104.472496032715
2127656.52173913,-105.407020568848
2127667.39130435,-112.180274963379
2127678.26086957,-112.02645111084
2127689.13043478,-104.32551574707
2127700,-104.56844329834
2127710.86956522,-106.933219909668
2127721.73913043,-105.852783203125
2127732.60869565,-105.017539978027
2127743.47826087,-106.114372253418
2127754.34782609,-108.590690612793
2127765.2173913,-108.962356567383
2127776.08695652,-109.332473754883
2127786.95652174,-107.683113098145
2127797.82608696,-105.786018371582
2127808.69565217,-105.012321472168
2127819.56521739,-107.867073059082
2127830.43478261,-109.173355102539
2127841.30434783,-102.637519836426
2127852.17391304,-103.202827453613
2127863.04347826,-105.940879821777
2127873.91304348,-111.261856079102
2127884.7826087,-113.256408691406
2127895.65217391,-108.181381225586
2127906.52173913,-111.090492248535
2127917.39130435,-109.468711853027
2127928.26086957,-106.36710357666
2127939.13043478,-104.60799407959
2127950,-104.557098388672
2127960.86956522,-106.364128112793
2127971.73913043,-105.160514831543
2127982.60869565,-106.822883605957
2127993.47826087,-106.998069763184
2128004.34782609,-105.464752197266
2128015.2173913,-107.240409851074
2128026.08695652,-103.704040527344
2128036.95652174,-102.79175567627
2128047.82608696,-103.066909790039
2128058.69565217,-103.165153503418
2128069.56521739,-106.118621826172
2128080.43478261,-105.752479553223
2128091.30434783,-105.490676879883
2128102.17391304,-104.292137145996
2128113.04347826,-101.525764465332
2128123.91304348,-102.391319274902
2128134.7826087,-106.871742248535
2128145.65217391,-104.08268737793
2128156.52173913,-108.698913574219
2128167.39130435,-107.071876525879
2128178.26086957,-105.25358581543
2128189.13043478,-101.518600463867
2128200,-103.377304077148
2128210.86956522,-105.223793029785
2128221.73913043,-100.015319824219
2128232.60869565,-101.091331481934
2128243.47826087,-105.864051818848
2128254.34782609,-104.497131347656
