GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),2.343784,AUTO
Start Frequency,2126200
Stop Frequency,2131200
Frequency Offset,0
Average Type,Log Pwr
RBW,10,MAN
VBW,1,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2126200,-110.373725891113
2126210.86956522,-107.121131896973
2126221.73913043,-107.095626831055
2126232.60869565,-111.33243560791
2126243.47826087,-113.556381225586
2126254.34782609,-114.737480163574
2126265.2173913,-111.605735778809
2126276.08695652,-107.639259338379
2126286.95652174,-111.594520568848
2126297.82608696,-112.428176879883
2126308.69565217,-115.296478271484
2126319.56521739,-112.122581481934
2126330.43478261,-111.947860717773
2126341.30434783,-112.222152709961
2126352.17391304,-111.293045043945
2126363.04347826,-110.477844238281
2126373.91304348,-111.309417724609
2126384.7826087,-108.044052124023
2126395.65217391,-111.973358154297
2126406.52173913,-115.832649230957
2126417.39130435,-112.076324462891
2126428.26086957,-110.577331542969
2126439.13043478,-107.88932800293
2126450,-107.060508728027
2126460.86956522,-108.224830627441
2126471.73913043,-112.289009094238
2126482.60869565,-113.590789794922
2126493.47826087,-108.754585266113
2126504.34782609,-108.051162719727
2126515.2173913,-108.904151916504
2126526.08695652,-112.308395385742
2126536.95652174,-112.833404541016
2126547.82608696,-109.940071105957
2126558.69565217,-111.365356445313
2126569.56521739,-107.231491088867
2126580.43478261,-107.622932434082
2126591.30434783,-111.348709106445
2126602.17391304,-112.00944519043
2126613.04347826,-111.596008300781
2126623.91304348,-112.812324523926
2126634.7826087,-112.877174377441
2126645.65217391,-112.933639526367
2126656.52173913,-111.719291687012
2126667.39130435,-110.185096740723
2126678.26086957,-109.665184020996
2126689.13043478,-109.127540588379
2126700,-113.179382324219
2126710.86956522,-110.750946044922
2126721.73913043,-108.685394287109
2126732.60869565,-108.142288208008
2126743.47826087,-108.46361541748
2126754.34782609,-110.255256652832
2126765.2173913,-106.184181213379
2126776.08695652,-107.373161315918
2126786.95652174,-107.203941345215
2126797.82608696,-112.260231018066
2126808.69565217,-111.902069091797
2126819.56521739,-106.434234619141
2126830.43478261,-106.89232635498
2126841.30434783,-113.442611694336
2126852.17391304,-108.609130859375
2126863.04347826,-108.352325439453
2126873.91304348,-109.571014404297
2126884.7826087,-107.007911682129
2126895.65217391,-109.403015136719
2126906.52173913,-115.921676635742
2126917.39130435,-111.717628479004
2126928.26086957,-111.876663208008
2126939.13043478,-109.297180175781
2126950,-111.58154296875
2126960.86956522,-116.228912353516
2126971.73913043,-113.711753845215
2126982.60869565,-107.75804901123
2126993.47826087,-107.110595703125
2127004.34782609,-107.764762878418
2127015.2173913,-108.602958679199
2127026.08695652,-110.32788848877
2127036.95652174,-111.726844787598
2127047.82608696,-112.427917480469
2127058.69565217,-105.624443054199
2127069.56521739,-105.433448791504
2127080.43478261,-115.437240600586
2127091.30434783,-111.436431884766
2127102.17391304,-109.182975769043
2127113.04347826,-110.282646179199
2127123.91304348,-115.438697814941
2127134.7826087,-109.216423034668
2127145.65217391,-108.116439819336
2127156.52173913,-110.292610168457
2127167.39130435,-112.712310791016
2127178.26086957,-111.880187988281
2127189.13043478,-110.421577453613
2127200,-110.845878601074
2127210.86956522,-110.618713378906
2127221.73913043,-107.250152587891
2127232.60869565,-107.130722045898
2127243.47826087,-110.481651306152
2127254.34782609,-108.747062683105
2127265.2173913,-107.437515258789
2127276.08695652,-109.488243103027
2127286.95652174,-110.883026123047
2127297.82608696,-117.020965576172
2127308.69565217,-114.540962219238
2127319.56521739,-112.314567565918
2127330.43478261,-111.751754760742
2127341.30434783,-107.223609924316
2127352.17391304,-109.99552154541
2127363.04347826,-111.494255065918
2127373.91304348,-112.001152038574
2127384.7826087,-112.926750183105
2127395.65217391,-116.012687683105
2127406.52173913,-115.694023132324
2127417.39130435,-111.574951171875
2127428.26086957,-110.961540222168
2127439.13043478,-113.268180847168
2127450,-112.796669006348
2127460.86956522,-111.878112792969
2127471.73913043,-110.680068969727
2127482.60869565,-108.332847595215
2127493.47826087,-112.725204467773
2127504.34782609,-110.931968688965
2127515.2173913,-112.093032836914
2127526.08695652,-112.461669921875
2127536.95652174,-107.707801818848
2127547.82608696,-107.365264892578
2127558.69565217,-107.571578979492
2127569.56521739,-110.843757629395
2127580.43478261,-111.689590454102
2127591.30434783,-112.455299377441
2127602.17391304,-115.992980957031
2127613.04347826,-116.625869750977
2127623.91304348,-109.069488525391
2127634.7826087,-109.570823669434
2127645.65217391,-111.392959594727
2127656.52173913,-112.861457824707
2127667.39130435,-107.691459655762
2127678.26086957,-107.729614257813
2127689.13043478,-109.449317932129
2127700,-111.457374572754
2127710.86956522,-111.155014038086
2127721.73913043,-111.523208618164
2127732.60869565,-110.401168823242
2127743.47826087,-110.948432922363
2127754.34782609,-108.92781829834
2127765.2173913,-108.965385437012
2127776.08695652,-108.941253662109
2127786.95652174,-110.808227539063
2127797.82608696,-109.917755126953
2127808.69565217,-113.772369384766
2127819.56521739,-114.422340393066
2127830.43478261,-113.773384094238
2127841.30434783,-107.433151245117
2127852.17391304,-111.211669921875
2127863.04347826,-112.336326599121
2127873.91304348,-109.44905090332
2127884.7826087,-108.813262939453
2127895.65217391,-111.563041687012
2127906.52173913,-111.863342285156
2127917.39130435,-113.702056884766
2127928.26086957,-113.77156829834
2127939.13043478,-113.572883605957
2127950,-114.467414855957
2127960.86956522,-113.191848754883
2127971.73913043,-115.851493835449
2127982.60869565,-115.926986694336
2127993.47826087,-112.447555541992
2128004.34782609,-112.019233703613
2128015.2173913,-111.149353027344
2128026.08695652,-116.33373260498
2128036.95652174,-113.768165588379
2128047.82608696,-110.035842895508
2128058.69565217,-109.728782653809
2128069.56521739,-116.863525390625
2128080.43478261,-111.27473449707
2128091.30434783,-110.907028198242
2128102.17391304,-108.716209411621
2128113.04347826,-106.989990234375
2128123.91304348,-107.365013122559
2128134.7826087,-113.295639038086
2128145.65217391,-114.880409240723
2128156.52173913,-115.304870605469
2128167.39130435,-113.593864440918
2128178.26086957,-111.972328186035
2128189.13043478,-109.514060974121
2128200,-110.432876586914
2128210.86956522,-111.352317810059
2128221.73913043,-108.598831176758
2128232.60869565,-112.007797241211
2128243.47826087,-111.248016357422
2128254.34782609,-120.28849029541
