GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),2.343784,AUTO
Start Frequency,2126200
Stop Frequency,2131200
Frequency Offset,0
Average Type,Log Pwr
RBW,10,MAN
VBW,1,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2126200,-113.728523254395
2126210.86956522,-108.795631408691
2126221.73913043,-105.181167602539
2126232.60869565,-106.906341552734
2126243.47826087,-108.147323608398
2126254.34782609,-104.254844665527
2126265.2173913,-104.630378723145
2126276.08695652,-107.89769744873
2126286.95652174,-109.144500732422
2126297.82608696,-109.574035644531
2126308.69565217,-106.578262329102
2126319.56521739,-106.762786865234
2126330.43478261,-106.535888671875
2126341.30434783,-109.865737915039
2126352.17391304,-115.924766540527
2126363.04347826,-109.890113830566
2126373.91304348,-108.223663330078
2126384.7826087,-111.853233337402
2126395.65217391,-116.811164855957
2126406.52173913,-116.387519836426
2126417.39130435,-113.659973144531
2126428.26086957,-114.251640319824
2126439.13043478,-111.450202941895
2126450,-103.863204956055
2126460.86956522,-104.533088684082
2126471.73913043,-108.169708251953
2126482.60869565,-107.966651916504
2126493.47826087,-108.118598937988
2126504.34782609,-109.668525695801
2126515.2173913,-110.573257446289
2126526.08695652,-108.813636779785
2126536.95652174,-107.249397277832
2126547.82608696,-110.394912719727
2126558.69565217,-108.312744140625
2126569.56521739,-108.402069091797
2126580.43478261,-111.119689941406
2126591.30434783,-110.961685180664
2126602.17391304,-110.823257446289
2126613.04347826,-112.672889709473
2126623.91304348,-111.029914855957
2126634.7826087,-109.059852600098
2126645.65217391,-110.733261108398
2126656.52173913,-116.911491394043
2126667.39130435,-111.706489562988
2126678.26086957,-114.705406188965
2126689.13043478,-113.913780212402
2126700,-113.03377532959
2126710.86956522,-110.159339904785
2126721.73913043,-113.466361999512
2126732.60869565,-113.539398193359
2126743.47826087,-113.838890075684
2126754.34782609,-114.842338562012
2126765.2173913,-111.724822998047
2126776.08695652,-111.047096252441
2126786.95652174,-106.966194152832
2126797.82608696,-108.987739562988
2126808.69565217,-105.704040527344
2126819.56521739,-108.355117797852
2126830.43478261,-113.766708374023
2126841.30434783,-113.688987731934
2126852.17391304,-112.552879333496
2126863.04347826,-112.338455200195
2126873.91304348,-112.020629882813
2126884.7826087,-107.819175720215
2126895.65217391,-115.222076416016
2126906.52173913,-112.492080688477
2126917.39130435,-114.787406921387
2126928.26086957,-113.977493286133
2126939.13043478,-116.760612487793
2126950,-114.174575805664
2126960.86956522,-110.21940612793
2126971.73913043,-111.121520996094
2126982.60869565,-115.066192626953
2126993.47826087,-115.359786987305
2127004.34782609,-118.990524291992
2127015.2173913,-120.125633239746
2127026.08695652,-112.404083251953
2127036.95652174,-108.354286193848
2127047.82608696,-108.043869018555
2127058.69565217,-113.098930358887
2127069.56521739,-109.549873352051
2127080.43478261,-108.352760314941
2127091.30434783,-104.618087768555
2127102.17391304,-104.418701171875
2127113.04347826,-109.219879150391
2127123.91304348,-110.455261230469
2127134.7826087,-109.638610839844
2127145.65217391,-109.035858154297
2127156.52173913,-108.031883239746
2127167.39130435,-107.462471008301
2127178.26086957,-111.224487304688
2127189.13043478,-114.878425598145
2127200,-110.928779602051
2127210.86956522,-110.84595489502
2127221.73913043,-111.137962341309
2127232.60869565,-110.691856384277
2127243.47826087,-111.115242004395
2127254.34782609,-112.606132507324
2127265.2173913,-114.323143005371
2127276.08695652,-109.549339294434
2127286.95652174,-107.119827270508
2127297.82608696,-112.491058349609
2127308.69565217,-113.252128601074
2127319.56521739,-114.203872680664
2127330.43478261,-115.660652160645
2127341.30434783,-116.87451171875
2127352.17391304,-114.32145690918
2127363.04347826,-111.174430847168
2127373.91304348,-109.433959960938
2127384.7826087,-108.979858398438
2127395.65217391,-108.536422729492
2127406.52173913,-109.637428283691
2127417.39130435,-117.09545135498
2127428.26086957,-116.405548095703
2127439.13043478,-113.076934814453
2127450,-111.534461975098
2127460.86956522,-112.732246398926
2127471.73913043,-109.149909973145
2127482.60869565,-108.878555297852
2127493.47826087,-108.616775512695
2127504.34782609,-107.084205627441
2127515.2173913,-108.74536895752
2127526.08695652,-113.269660949707
2127536.95652174,-112.438316345215
2127547.82608696,-110.736183166504
2127558.69565217,-114.439521789551
2127569.56521739,-111.962890625
2127580.43478261,-111.121315002441
2127591.30434783,-106.568984985352
2127602.17391304,-106.47282409668
2127613.04347826,-107.165702819824
2127623.91304348,-108.543815612793
2127634.7826087,-110.323883056641
2127645.65217391,-111.704925537109
2127656.52173913,-111.270957946777
2127667.39130435,-110.911956787109
2127678.26086957,-121.12678527832
2127689.13043478,-110.049682617188
2127700,-111.876487731934
2127710.86956522,-116.473587036133
2127721.73913043,-113.867347717285
2127732.60869565,-109.048393249512
2127743.47826087,-109.195030212402
2127754.34782609,-116.977584838867
2127765.2173913,-116.263061523438
2127776.08695652,-113.453063964844
2127786.95652174,-108.836723327637
2127797.82608696,-109.137977600098
2127808.69565217,-114.420822143555
2127819.56521739,-111.300086975098
2127830.43478261,-111.46671295166
2127841.30434783,-108.114898681641
2127852.17391304,-111.021461486816
2127863.04347826,-110.342926025391
2127873.91304348,-109.854530334473
2127884.7826087,-108.648536682129
2127895.65217391,-110.823196411133
2127906.52173913,-115.707336425781
2127917.39130435,-112.392181396484
2127928.26086957,-112.259826660156
2127939.13043478,-109.607177734375
2127950,-109.725311279297
2127960.86956522,-111.769218444824
2127971.73913043,-108.872314453125
2127982.60869565,-109.550918579102
2127993.47826087,-114.129295349121
2128004.34782609,-114.478439331055
2128015.2173913,-117.342384338379
2128026.08695652,-112.96215057373
2128036.95652174,-111.472221374512
2128047.82608696,-109.531257629395
2128058.69565217,-109.8935546875
2128069.56521739,-115.253570556641
2128080.43478261,-111.80403137207
2128091.30434783,-112.672103881836
2128102.17391304,-109.198509216309
2128113.04347826,-110.641456604004
2128123.91304348,-113.210998535156
2128134.7826087,-113.713363647461
2128145.65217391,-109.897895812988
2128156.52173913,-108.885589599609
2128167.39130435,-109.327430725098
2128178.26086957,-114.155715942383
2128189.13043478,-113.790603637695
2128200,-111.255386352539
2128210.86956522,-110.865425109863
2128221.73913043,-111.269477844238
2128232.60869565,-106.593765258789
2128243.47826087,-105.201194763184
2128254.34782609,-109.857795715332
